ARVORE;DAP;HT;hi;di_cc;e_casca
28;19,73521294;32,3;4;17,82535363;4
28;19,73521294;32,3;6;17,02957891;4
28;19,73521294;32,3;8;16,55211408;4
28;19,73521294;32,3;10;15,59718442;3
28;19,73521294;32,3;12;14,32394488;3
28;19,73521294;32,3;14;13,68732511;3
28;19,73521294;32,3;16;12,73239545;3
28;19,73521294;32,3;18;11,93662073;3
28;19,73521294;32,3;20;10,82253613;3
28;19,73521294;32,3;22;9,549296586;2
28;19,73521294;32,3;24;8,594366927;3
28;19,73521294;32,3;26;7,639437268;2
28;19,73521294;32,3;28;6,047887837;2
28;19,73521294;32,3;30;4,13802852;2
28;19,73521294;32,3;32;1,591549431;1
29;20,6901426;34,15;0,1;23,23662169;10
29;20,6901426;34,15;0,5;21,64507226;9
29;20,6901426;34,15;1;20,84929755;7
29;20,6901426;34,15;1,5;20,37183272;7
29;20,6901426;34,15;2;19,73521294;5
29;20,6901426;34,15;4;19,09859317;5
29;20,6901426;34,15;6;18,78028328;5
29;20,6901426;34,15;8;17,82535363;4
29;20,6901426;34,15;10;16,87042397;4
29;20,6901426;34,15;12;15,59718442;4
29;20,6901426;34,15;14;14,96056465;5
29;20,6901426;34,15;16;14,32394488;3
29;20,6901426;34,15;18;13,05070533;3
29;20,6901426;34,15;20;12,09577567;4
29;20,6901426;34,15;22;10,50422624;4
29;20,6901426;34,15;24;9,708451529;3
29;20,6901426;34,15;26;8,435211984;2
29;20,6901426;34,15;28;7,321127382;3
29;20,6901426;34,15;30;5,411268065;2
29;20,6901426;34,15;32;4,13802852;2
29;20,6901426;34,15;34;1,909859317;1
30;20,6901426;33,5;0,1;23,39577663;10
30;20,6901426;33,5;0,5;21,64507226;8
30;20,6901426;33,5;1;20,6901426;8
30;20,6901426;33,5;1,5;20,37183272;5
30;20,6901426;33,5;2;20,21267777;6
30;20,6901426;33,5;4;19,41690306;6
30;20,6901426;33,5;6;18,78028328;5
30;20,6901426;33,5;8;17,66619868;4
30;20,6901426;33,5;10;16,71126902;4
30;20,6901426;33,5;12;15,59718442;3
30;20,6901426;33,5;14;14,32394488;3
30;20,6901426;33,5;16;13,36901522;3
30;20,6901426;33,5;18;12,41408556;3
30;20,6901426;33,5;20;11,4591559;3
30;20,6901426;33,5;22;10,66338119;3
30;20,6901426;33,5;24;8,912676813;3
30;20,6901426;33,5;26;7,639437268;3
30;20,6901426;33,5;28;6,366197724;3
30;20,6901426;33,5;30;5,092958179;2
30;20,6901426;33,5;32;3,023943919;2
31;21,64507226;33,8;0,1;26,41972055;8
31;21,64507226;33,8;0,5;23,23662169;8
31;21,64507226;33,8;1;21,96338215;9
31;21,64507226;33,8;1,5;21,32676237;6
31;21,64507226;33,8;2;20,6901426;6
31;21,64507226;33,8;4;20,05352283;5
31;21,64507226;33,8;6;19,73521294;4
31;21,64507226;33,8;8;19,09859317;4
31;21,64507226;33,8;10;17,98450857;5
31;21,64507226;33,8;12;16,71126902;3
31;21,64507226;33,8;14;15,91549431;3
31;21,64507226;33,8;16;15,27887454;4
31;21,64507226;33,8;18;13,84648005;4
31;21,64507226;33,8;20;12,41408556;3
31;21,64507226;33,8;22;11,4591559;3
31;21,64507226;33,8;24;10,66338119;3
31;21,64507226;33,8;26;8,912676813;3
