"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
12;15,27887454;27,75;18;7,002817496;2;6,602817496;0,00385154962277613;0,00342411599339322;0,00615133855034824;0,00539647129158751
12;15,27887454;27,75;20;5,411268065;2;5,011268065;0,00229978892757211;0,00197235529819429;0,00354318692029168;0,00309389488357679
12;15,27887454;27,75;22;3,978873577;1;3,778873577;0,00124339799271957;0,0011215395853825;0,00169102127002361;0,00149730445535202
12;15,27887454;27,75;24;2,387324146;1;2,187324146;0,000447623277304044;0,000375764869969523;NA;NA
13;15,91549431;29,3;0,1;18,14366351;7;16,74366351;0,0258547204982216;0,022018658538792;0,00964160645229298;0,00836010202360404
13;15,91549431;29,3;0,5;16,87042397;5;15,87042397;0,0223533117632433;0,0197818515792282;0,0107628530310356;0,00950212293893505
13;15,91549431;29,3;1;16,2338042;5;15,2338042;0,020698100360899;0,018226640176512;0,010148117062353;0,00892488697030938
13;15,91549431;29,3;1,5;15,91549431;5;14,91549431;0,0198943678885131;0,0174729077047255;0,00984820946592931;0,00864372937391411
13;15,91549431;29,3;2;15,75633937;5;14,75633937;0,0194984699752042;0,0171020097909309;0,0378331194270178;0,0335669247248027
13;15,91549431;29,3;4;15,27887454;4;14,47887454;0,0183346494518137;0,0164649149338717;0,0348091754955138;0,0316027153115826
13;15,91549431;29,3;6;14,48309982;3;13,88309982;0,0164745260437002;0,0151378003777109;0,0311884005413545;0,0285899492088614
13;15,91549431;29,3;8;13,68732511;3;13,08732511;0,0147138744976543;0,0134521488311504;0,0274462699503026;0,0250128186174315
13;15,91549431;29,3;10;12,73239545;3;12,13239545;0,0127323954526484;0,0115606697862811;0,0242233823344135;0,0223042230389737
13;15,91549431;29,3;12;12,09577567;2;11,69577567;0,0114909868817652;0,0107435532526927;0,0218042271894103;0,0203493599311166
13;15,91549431;29,3;14;11,4591559;2;11,0591559;0,0103132403076452;0,00960580667842394;0,0187186107381045;0,0173737434795587
13;15,91549431;29,3;16;10,3450713;2;9,9450713;0,00840537043045928;0,00776793680113478;0,0150978357869951;0,0138929685283057
13;15,91549431;29,3;18;9,230986699;2;8,830986699;0,0066924653565358;0,00612503172717089;0,0116660573286641;0,0106111900698881
13;15,91549431;29,3;20;7,957747155;2;7,557747155;0,00497359197212827;0,00448615834271717;0,00865206059439184;0,00774719333559205
13;15,91549431;29,3;22;6,843662553;2;6,443662553;0,00367846862226357;0,00326103499287488;0,00597825754983568;0,00523339029106917
13;15,91549431;29,3;24;5,411268065;2;5,011268065;0,00229978892757211;0,00197235529819429;0,00344570451771047;0,00289083725895991
13;15,91549431;29,3;26;3,819718634;2;3,419718634;0,00114591559013835;0,000918481960765624;0,00148213040735672;0,0011928383706437
13;15,91549431;29,3;28;2,06901426;1;1,86901426;0,000336214817218371;0,000274356409878076;NA;NA
14;15,91549431;26,8;0,1;18,14366351;8;16,54366351;0,0258547204982216;0,0214957824286737;0,00964160645229298;0,00805860644628921
14;15,91549431;26,8;0,5;16,87042397;7;15,47042397;0,0223533117632433;0,0187972498027724;0,0105619199129391;0,00895117875666549
14;15,91549431;26,8;1;15,91549431;6;14,71549431;0,0198943678885131;0,0170074652238895;0,00975022969983276;0,00832177836770083
14;15,91549431;26,8;1,5;15,59718442;6;14,39718442;0,019106550910818;0,0162796482469138;0,00936030009065791;0,00807320937864199
14;15,91549431;26,8;2;15,27887454;5;14,27887454;0,0183346494518137;0,0160131892676542;0,0351732424206911;0,0310620477195489
14;15,91549431;26,8;4;14,64225476;4;13,84225476;0,0168385929688775;0,0150488584518947;0,032244791455582;0,0287453224213189
14;15,91549431;26,8;6;14,00563499;4;13,20563499;0,0154061984867045;0,0136964639694242;0,0287831714463307;0,0254837024119521
14;15,91549431;26,8;8;13,05070533;4;12,25070533;0,0133769729596262;0,0117872384425279;0,0254807063794876;0,0227492461963816
14;15,91549431;26,8;10;12,41408556;3;11,81408556;0,0121037334198614;0,0109620077538537;0,0224169737275065;0,0205678144322777
14;15,91549431;26,8;12;11,4591559;2;11,0591559;0,0103132403076452;0,00960580667842394;0,0182093149142485;0,016585155619361
14;15,91549431;26,8;14;10,02676141;3;9,42676141;0,00789607460660334;0,00697934894093704;0,014134948375601;0,0124064970438308
14;15,91549431;26,8;16;8,912676813;3;8,312676813;0,0062388737689977;0,00542714810289378;0,0116183108457916;0,0102991515502882
14;15,91549431;26,8;18;8,276057041;2;7,876057041;0,00537943707679394;0,00487200344739438;0,00888880357211764;0,00797393631332363
14;15,91549431;26,8;20;6,68450761;2;6,28450761;0,00350936649532371;0,00310193286592924;0,00623290545861365;0,00546803819985869
14;15,91549431;26,8;22;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00428325740588937;0,0036583901471164
